Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;273,6;28,893548;21,822581;16,935484;78,717742;
2010-02-28;74;28,975;21,891429;16,946429;75,651786;
2010-03-31;277;27,632258;20,789677;16,403226;83,274194;
2010-04-30;66,8;25,473333;18,675333;14,203333;80,966667;
2010-05-31;35,7;23,745161;16,674194;11,53871;81,298387;
2010-06-30;2;21,87;14,394667;9,01;79,266667;
2010-07-31;32,2;22,848387;16,179355;11,487097;79,475806;
2010-08-31;0;24,325806;16,025161;9,535484;65,669355;
2010-09-30;37,6;25,596667;18,046667;12,863333;70,4;
2010-10-31;205,4;25,229032;18,536129;14,270968;80,782258;
2010-11-30;338,9;24,72;19,225333;15,686667;85,15;
2010-12-31;342,5;27,619355;21,412258;17,641935;83,951613;
2011-01-31;182,7;27,067742;21,513548;17,525806;82,064516;
2011-02-28;28,1;29,453571;22,287857;17,389286;72,723214;
2011-03-31;264,1;25,841935;20,163871;17,041935;88,016129;
2011-04-30;71,7;26,056667;19,440667;15,5;84,191667;
2011-05-31;8,7;23,319355;16,143226;11,583871;84,322581;
2011-06-30;37,2;22,543333;14,742667;9,63;82,733333;
2011-07-31;7,2;23,941935;15,577419;9,351613;76,846774;
2011-08-31;4,6;26,451613;17,810968;11,454839;68,782258;
2011-09-30;11,5;25,906667;17,461333;11,186667;66,883333;
2011-10-31;144,2;24,667742;18,561935;14,516129;81,870968;
2011-11-30;204,4;23,593103;17,918;14,148276;82,558333;
2011-12-31;400;25,206452;19,827742;16,33871;89,701613;
2012-01-31;325;25,976923;19,894615;16,088462;85,846154;
2012-02-29;51;27,675862;20,978571;16,153571;80,392857;
2012-03-31;198,1;26,893548;20,261935;15,648387;84,83871;
2012-04-30;42,8;25,92;19,457333;15,34;87,175;
2012-05-31;105;21,841935;15,848387;11,651613;87,612903;
2012-06-30;69,3;23,366667;16,792;12,56;86,6;
2012-07-31;2,3;23,216129;15,629032;9,380645;77,274194;
2012-08-31;14,3;22,383871;15,155484;10,033333;80,887097;
2012-09-30;26,4;26,21;17,894;11,133333;69,625;
2012-10-31;81,1;27,641935;20,263226;14,322581;69,080645;
2012-11-30;161,8;25,004167;19,211667;15,753333;85,241667;
2012-12-31;135,3;null;null;17,733333;80,346774;
2013-01-31;403,5;null;null;16,857692;86,875;
2013-02-28;61,9;null;null;16,839286;78,241071;
2013-03-31;184,4;null;null;16,8;88,177419;
2013-04-30;45,2;null;null;14,073333;87,683333;
2013-05-31;62,7;null;null;11,790323;85,193548;
2013-06-30;23,8;null;null;12,146667;86,583333;
2013-07-31;15,3;null;null;10,235484;82,024194;
2013-08-31;3,9;null;null;10,819355;71,104839;
2013-09-30;75,4;null;null;12,893333;76,616667;
2013-10-31;149;null;null;13,756667;81,717742;
2013-11-30;178,1;null;null;15,166667;82,975;
2013-12-31;306,2;null;null;17,054839;87,975806;
2014-01-31;171,5;null;null;16,211111;75,472222;
2014-02-28;33,4;null;null;16,571429;71,973214;
2014-03-31;130,3;null;null;16,667742;81,758065;
2014-04-30;126,4;null;null;15,113333;86,158333;
2014-05-31;21,3;null;null;11,625806;82,41129;
2014-06-30;13;null;null;11,363333;84,083333;
2014-07-31;36,4;null;null;11,054839;82,975806;
2014-08-31;61,4;null;null;10,351613;74,612903;
2014-09-30;14,8;null;null;12,956667;70,041667;
2014-10-31;50,6;null;null;13,841935;70,209677;
2014-11-30;337,3;null;null;15,63;82,033333;
2014-12-31;137,6;null;null;16,703226;80,193548;
2015-01-31;81,2;null;null;16,585185;74,351852;
2015-02-28;192,9;null;null;16,903571;83,8125;
2015-03-31;347,5;null;null;16,709677;86,379032;
2015-04-30;40,1;null;null;15,186667;85,816667;
2015-05-31;66,6;null;null;13,090323;88,459677;
2015-06-30;17,8;null;null;11,413333;84,908333;
2015-07-31;12,3;null;null;11,529032;81,395161;
2015-08-31;17,9;null;null;11,36129;75,33871;
2015-09-30;130,6;null;null;14,426667;74,65;
2015-10-31;92,2;null;null;16,290323;73,475806;
2015-11-30;208,5;null;null;17,846667;84,433333;
2015-12-31;270,4;null;null;17,251613;83,137097;
2016-01-31;280,7;null;null;17,344444;86,333333;
2016-02-29;193,4;null;null;17,22069;79,232759;
2016-03-31;177,4;null;null;17,55;83,732143;
2016-04-30;38,2;null;null;15,51;75,583333;
2016-05-31;20,6;null;null;13,586667;86,785714;
2016-06-30;44,8;null;null;10,823333;86,508621;
2016-07-31;0;null;null;10,770968;75,524194;
2016-08-31;17,8;null;null;11,8;71,258065;
2016-09-30;80,2;null;null;13,886667;73,666667;
2016-10-31;53,2;null;null;15,46129;82,991935;
2016-11-30;330,9;null;null;15,766667;86,466667;
2016-12-31;162,2;null;null;16,567742;78,620968;
2017-01-31;109,7;null;null;17,581481;78,527778;
2017-02-28;213,4;null;null;17,239286;81,857143;
2017-03-31;75,2;null;null;16,090323;81,322581;
2017-04-30;67,8;null;null;15,088462;86,769231;
2017-05-31;77,4;null;null;12,367742;87,112903;
2017-06-30;27,8;null;null;11,676667;84,325;
2017-07-31;9,8;null;null;9,919355;84,169355;
2017-08-31;0;null;null;10,658065;78,491935;
2017-09-30;7,2;null;null;12,106667;64,166667;
2017-10-31;105,6;null;null;15,806452;70,862903;
2017-11-30;145,2;null;null;15,316667;81,975;
2017-12-31;282,9;null;null;16,858065;85,314516;
2018-01-31;218,6;null;null;17,077778;83,425926;
2018-02-28;127,3;null;null;16,704167;null;
2018-03-31;188,6;null;null;17,62963;null;
2018-04-30;5,6;null;null;null;null;
2018-05-31;6,2;null;null;11,634615;null;
