Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;436,9;26,812903;21,652903;18,687097;84,379032;
2010-02-28;178,7;28,192857;22,837857;19,414286;78,241071;
2010-03-31;208,8;25,932258;20,649032;17,312903;81,983871;
2010-04-30;207,3;23,183333;17,61;14,083333;84,041667;
2010-05-31;104,7;20,009677;15,109677;12,058065;86,5;
2010-06-30;86,4;19,843333;13,941333;10,26;82,45;
2010-07-31;132,9;20,73871;14,943871;11,251613;82,532258;
2010-08-31;47,1;20,790323;13,831613;9,441935;77,572581;
2010-09-30;55;22,566667;16,443333;12,673333;78,725;
2010-10-31;152,5;22,158065;16,027097;12,467742;81,080645;
2010-11-30;98,6;25,063333;18,736667;14,673333;75,866667;
2010-12-31;322,1;25,209677;19,833548;16,512903;84,379032;
2011-01-31;338,8;27,774194;22,010968;18,729032;82,637097;
2011-02-28;293,1;27,035714;21,638571;18,685714;82,241071;
2011-03-31;75,6;23,270968;18,909677;16,441935;86,58871;
2011-04-30;108,2;24,026667;18,569333;15,266667;82,141667;
2011-05-31;33,6;20,412903;14,775484;11,409677;82,346774;
2011-06-30;108,8;19,203333;12,666;7,926667;80,608333;
2011-07-31;147,1;20,025806;14,132903;10,135484;83,217742;
2011-08-31;260,9;20,419355;14,573548;10,583871;79,782258;
2011-09-30;59,9;21,4;14,89;10,703333;79,225;
2011-10-31;191,9;23,206452;17,382581;13,916129;81,403226;
2011-11-30;68;23,92;17,680667;13,77;77,866667;
2011-12-31;128,6;25,583871;19,904516;15,925806;75,620968;
2012-01-31;121;26,329032;20,354839;16,690323;79;
2012-02-29;198,8;28,717241;22,197241;18,4;78,344828;
2012-03-31;48;27,016129;20,130323;15,619355;75,717742;
2012-04-30;182,9;23,98;18,254;15,153333;82,033333;
2012-05-31;61,8;20,325806;15,196129;11,86129;85,645161;
2012-06-30;225,5;18,28;13,998;11,19;88,316667;
2012-07-31;108,9;19,609677;13,627742;9,141935;80,975806;
