Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;70,9;31,880645;27,830968;24,296774;76,870968;
2010-02-28;76,2;32,414286;28,438571;25,271429;77,294643;
2010-03-31;234,7;32,403226;28,245161;24,893548;78,008065;
2010-04-30;310;31,953333;27,804;24,356667;82,166667;
2010-05-31;176,7;31,654839;27,592258;24,293548;80,604839;
2010-06-30;90,1;31,84;27,128667;23,276667;76,2;
2010-07-31;54,2;31,816129;26,857419;22,890323;74,08871;
2010-08-31;3,1;32,158065;27,019355;22,680645;69,322581;
2010-09-30;0;32,163333;27,130667;23,026667;68,183333;
2010-10-31;3,8;32,432258;27,777419;24,36129;71,814516;
2010-11-30;13,2;32,533333;28,142;24,896667;71,108333;
2010-12-31;76,4;31,996774;27,863871;24,616129;74,814516;
2011-01-31;668,3;30,574194;26,458065;23,129032;83,91129;
2011-02-28;308,6;30,725;26,715714;23,596429;84,035714;
2011-03-31;375,6;31,293548;26,8;23,187097;83,024194;
2011-04-30;387,3;30,393333;26,113333;22,98;87,066667;
2011-05-31;160;31,048387;26,670323;23,426667;83,403226;
2011-06-30;141,4;30,893333;26,34;22,656667;79,983333;
2011-07-31;123,2;30,845161;26,026452;22,206452;78,741935;
2011-08-31;24,4;31,535484;26,492258;22,306452;73,491935;
2011-09-30;0;32,166667;26,828667;22,513333;71,308333;
2011-10-31;32,8;31,574194;27,252903;23,987097;74,733871;
2011-11-30;24,4;31,54;27,4;24,15;74,375;
2011-12-31;14,9;31,748387;27,677419;24,8;73,58871;
2012-01-31;48,2;31,719355;27,664516;24,980645;75,266129;
2012-02-29;210;30,889655;26,773103;23,8;80,818966;
2012-03-31;302,4;30,641935;26,876774;23,841935;81,725806;
2012-04-30;152,1;31,066667;27,296;24,35;81,3;
2012-05-31;143;31,093548;27,169032;23,967742;78,459677;
2012-06-30;140,2;30,71;26,698;23,54;79,241667;
2012-07-31;6,3;31,1;26,672903;23,174194;73,475806;
2012-08-31;0;31,583871;26,756774;22,93871;70,524194;
2012-09-30;2,1;31,533333;26,959333;23,72;70,875;
2012-10-31;11,3;31,445161;27,306452;24,287097;71,475806;
2012-11-30;3,7;31,673333;27,706;24,9;71,95;
2012-12-31;14;31,993548;28,065806;25,53871;74,120968;
2013-01-31;46,7;31,719355;27,940645;25,403226;76,33871;
2013-02-28;109,5;32,292857;28,180714;25,421429;75,669643;
2013-03-31;72,7;32,032258;28,365806;25,670968;76,951613;
2013-04-30;154,6;31,416667;27,579333;24,466667;79,975;
2013-05-31;144,3;31,3;27,423871;24,283871;79,725806;
2013-06-30;217,9;30,5;26,496;23,533333;81,333333;
2013-07-31;87;30,564516;26,321935;23,125806;78,274194;
2013-08-31;13,5;31,306452;27,087586;23,758621;73,112069;
2013-09-30;10,5;31,59;27,297333;24,113333;74,241667;
2013-10-31;9,4;31,935484;27,630323;24,693548;73,129032;
2013-11-30;11,2;31,71;27,742;25;74,558333;
2013-12-31;10,6;31,945161;28,014839;25,354839;73,379032;
2014-01-31;67,2;31,467742;27,560645;24,425806;77,346774;
2014-02-28;144,2;31,032143;27,043571;23,481481;80,178571;
2014-03-31;330,6;31,164516;27,192903;23,603226;81,112903;
2014-04-30;266,9;30,92;26,912667;23,49;84,558333;
2014-05-31;257,1;30,770968;26,696129;23,458065;84,016129;
2014-06-30;56;31,23;26,927333;23,266667;78,066667;
2014-07-31;35,6;31,167742;26,454194;22,348387;75,66129;
2014-08-31;1,7;31,564516;26,747742;22,735484;71,620968;
2014-09-30;7,5;31,64;27,024;23,42;73,491667;
2014-10-31;4,4;32,151613;27,529032;23,909677;71,362903;
2014-11-30;18;31,876667;27,514667;24,33;74,141667;
2014-12-31;48,9;31,770968;27,643226;24,648387;74,209677;
2015-01-31;72,2;31,493548;27,398065;24,319355;76,274194;
2015-02-28;144,6;31,532143;27,543571;24,539286;79,1875;
2015-03-31;377,7;30,732258;26,879355;23,629032;83,403226;
2015-04-30;296,4;30,86;26,888667;23,64;84,975;
2015-05-31;81,1;31,748387;27,62;24,119355;79,427419;
2015-06-30;66,2;30,973333;26,784;23,086667;79,15;
2015-07-31;147,5;30,380645;null;22,570968;null;
2015-08-31;12,7;30,987097;null;22,867742;null;
2015-09-30;15,2;31,16;null;23,913333;null;
2015-10-31;1,1;31,825806;null;23,903226;null;
2015-11-30;1,2;32,393333;null;24,126667;null;
2015-12-31;47,4;32,380645;null;24,848387;null;
2016-01-31;309,7;31,219355;27,356129;24,403226;82,508065;
2016-02-29;169,2;31,265517;27,451724;24,327586;82,198276;
