Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;243,9;29,983871;24,909032;21,26129;82,104839;
2010-02-28;190;31,357143;25,861429;21,832143;76,508929;
2010-03-31;128,8;30,806452;24,822581;19,987097;71,435484;
2010-04-30;64,2;28,536667;22,561333;18,17;70,108333;
2010-05-31;56,6;23,645161;18,28;13,887097;78,233871;
2010-06-30;22,3;25,306667;18,896;14,1;68,65;
2010-07-31;42,3;26,183871;19,882581;15,290323;64,919355;
2010-08-31;24;27,541935;20,343871;14,551613;54,943548;
2010-09-30;139,1;29,34;22,610667;17,23;58,9;
2010-10-31;203,8;28,23871;21,834839;16,680645;67,693548;
2010-11-30;116,8;30,01;23,493333;17,75;65,466667;
2010-12-31;212,9;29,219355;24,064516;20,122581;80,459677;
2011-01-31;182;30,732258;25,008387;21,322581;79,443548;
2011-02-28;312,9;30,592857;24,947143;21,275;80,178571;
2011-03-31;252,6;29,319355;24,068387;19,883871;74,508065;
2011-04-30;93,9;28,446667;22,732;18,406667;73,091667;
2011-05-31;11,2;25,506452;19,394194;14,319355;68,346774;
2011-06-30;135,9;23,366667;17,168667;12,24;69,15;
2011-07-31;153,6;25,251613;19,198065;14,645161;67,620968;
2011-08-31;41;26,796774;20,26;15,054839;60,41129;
2011-09-30;29,7;29,646667;22,224667;15,756667;55;
2011-10-31;210,4;29,025806;22,95871;17,854839;68,935484;
2011-11-30;111,6;29,623333;23,542;18,136667;62,633333;
2011-12-31;45;31,616129;25,232903;19,725806;61,024194;
2012-01-31;136,7;30,264516;24,28129;19,790323;72,604839;
2012-02-29;185,1;32,6;26,14069;21,044828;66,568966;
2012-03-31;62,8;31,396774;24,754839;19,154839;62,33871;
2012-04-30;152,5;28,343333;22,46;18,22;73,758333;
2012-05-31;75,1;25,087097;19,49871;15,2;75,419355;
2012-06-30;293,4;23,506667;18,270667;14,473333;82,808333;
2012-07-31;19,1;24,390323;18,168387;13,364516;69,733871;
2012-08-31;2,7;28,625806;22,069677;17,151613;54,298387;
2012-09-30;71,1;31,113333;23,624;17,373333;53,108333;
2012-10-31;55;31,880645;25,14129;20,003226;63,75;
2012-11-30;104,4;30,97;24,792;20,036667;67,541667;
2012-12-31;171,1;32,116129;26,152903;21,993548;74,58871;
2013-01-31;103,8;30,119355;24,45871;18,996774;73,862903;
2013-02-28;399,4;30,178571;23,998571;19,275;80,107143;
2013-03-31;222,6;29,03871;23,618065;19,390323;75,766129;
2013-04-30;165,7;27,473333;21,889333;17,27;73,583333;
2013-05-31;184,5;25,880645;20,430968;16,183871;74,532258;
2013-06-30;269,9;23,193333;18,677333;15,146667;86,266667;
2013-07-31;87,8;24,190323;17,831613;12,603226;69,217742;
2013-08-31;2,8;26,774194;19,453548;14,070968;56,419355;
2013-09-30;76,9;28,816667;22,070667;17,03;59,491667;
2013-10-31;228,8;29,132258;23,15871;18,164516;63,524194;
2013-11-30;76,6;30,533333;24,740741;19,634615;66,7;
2013-12-31;78,3;31,558065;25,949677;21,067742;69,112903;
2014-01-31;188,3;31,764516;25,673548;21,109677;73,080645;
2014-02-28;194,3;32,571429;26,262857;21,328571;64,053571;
2014-03-31;340;30,006452;24,303871;19,877419;73,548387;
2014-04-30;162,3;28,196667;22,839333;18,893333;77,741667;
2014-05-31;123,9;24,780645;19,659355;15,870968;77,451613;
2014-06-30;142,1;24,336667;19,054667;15,553333;78,15;
2014-07-31;132,8;24,480645;18,457419;14,164516;70,733871;
2014-08-31;48,4;28,570968;21,590323;16,209677;56,58871;
2014-09-30;151,3;29,246667;22,956667;17,966667;64,466667;
2014-10-31;58,1;32,490323;25,50129;19,696774;54,104839;
2014-11-30;149,2;30,716667;24,540667;19,756667;68,075;
2014-12-31;239,2;30,664516;25,335484;21,177419;74,25;
2015-01-31;236;32,003226;26,112903;21,470968;73,145161;
2015-02-28;214,3;30,621429;24,875714;20,932143;77,875;
2015-03-31;307,2;30,435484;24,480645;20,225806;73,435484;
2015-04-30;91,4;29,246667;23,593333;19,326667;68,6;
2015-05-31;184,5;24,745161;19,749032;16,293548;77,733871;
2015-06-30;12,7;25,646667;19,774667;15,43;71,858333;
2015-07-31;378,6;23,696774;18,561935;15,154839;77,895161;
2015-08-31;53,7;29,445161;22,522581;17,545161;52,790323;
2015-09-30;236,7;29,42;23,025333;18,626667;65,275;
2015-10-31;312,3;31,219355;24,899355;20,074194;70,362903;
2015-11-30;369,6;29,06;23,872;20,183333;81,933333;
2015-12-31;327;29,374194;24,442581;21,032258;82,830645;
2016-01-31;419,8;30,919355;25,627097;21,345161;73,120968;
2016-02-29;384,1;30,903448;25,211034;21,913793;81,862069;
2016-03-31;101,7;30,509677;24,424516;19,916129;69,225806;
2016-04-30;120,7;31,65;25,137333;20,34;58,525;
2016-05-31;252,4;23,251613;18,513548;15,067742;79,403226;
2016-06-30;78;22,226667;16,831333;12,886667;69,708333;
2016-07-31;64,8;26,187097;19,436774;14,416129;58,153226;
2016-08-31;144,4;26,86129;20,249032;15,483871;63,145161;
2016-09-30;39,4;28,126667;21,166;15,643333;57,258333;
2016-10-31;138,6;29,580645;23,238065;18,067742;64,741935;
2016-11-30;36,9;31,363333;25,021333;19,47;59,508333;
2016-12-31;215,3;30,322581;24,736129;20,490323;74,362903;
2017-01-31;338,6;30,716129;24,84;20,854839;77,959677;
2017-02-28;149,3;32,525;26,285;21,85;70,214286;
2017-03-31;161,2;30,796774;24,94;20,690323;70,443548;
2017-04-30;159,2;27,56;22,129333;17,98;73,008333;
2017-05-31;306,1;25,503226;21,043226;17,741935;79,540323;
2017-06-30;103;23,696667;18,484;14,773333;75;
2017-07-31;0;24,954839;18,78129;14,264516;57;
2017-08-31;142,9;27,403226;21,042581;16,235484;59,806452;
2017-09-30;33,2;32,513333;25,963333;20,87;43,608333;
2017-10-31;311,9;29,387097;23,451613;18,541935;67,540323;
2017-11-30;132,9;29,653333;23,827333;18,81;66,158333;
2017-12-31;210,1;29,703226;25,225161;21,470968;73,701613;
2018-01-31;357,7;29,541935;24,298065;20,819355;79,233871;
2018-02-28;88,7;29,507143;24,395714;20,110714;69,848214;
2018-03-31;228,8;31,119355;25,532258;21,567742;76,427419;
2018-04-30;26,7;29,776667;24,202;19,716667;63,283333;
2018-05-31;49,8;26,932258;21,013548;16,506452;64,645161;
2018-06-30;66,7;24,53;19,343333;15,7;73,258333;
2018-07-31;6,1;27,590323;20,899355;15,854839;53,322581;
2018-08-31;257,1;24,474194;18,478065;13,932258;66,362903;
2018-09-30;143,5;28,183333;21,928667;17,073333;65,408333;
2018-10-31;319,3;28,419355;23,105161;19,048387;75,33871;
2018-11-30;197,9;29,836667;24,452;19,48;68,258333;
2018-12-31;142,4;31,893548;26,133548;21,554839;63,935484;
2019-01-31;201,4;32,548387;26,848387;22,432258;70,112903;
2019-02-28;129,1;31,721429;25,825714;21,417857;69,241071;
2019-03-31;197,8;30,341935;24,884516;20,832258;72,112903;
2019-04-30;60,1;29,216667;24,099333;20;70,441667;
2019-05-31;68,3;26,845161;21,496129;17,612903;75,241935;
2019-06-30;92,5;26,7;21,072;17,036667;65,175;
2019-07-31;34,3;25,374194;19,110968;14,46129;60,75;
2019-08-31;,2;28,116129;21,16;15,641935;52,040323;
2019-09-30;66,6;30,933333;24,364;19,303333;56,466667;
2019-10-31;119,2;33,2;26,429677;20,832258;55,427419;
2019-11-30;78;31,826667;25,882667;20,823333;61,391667;
2019-12-31;377;29,616129;24,667097;20,348387;74,072581;
2020-01-31;170;30,003226;25,233548;21,283871;74,580645;
2020-02-29;171;30,986207;25,310345;20,748276;69,672414;
2020-03-31;36,6;31,445161;25,41871;20,13871;58,048387;
2020-04-30;38,2;28,956667;22,667333;17,51;58,275;
2020-05-31;61,3;25,790323;19,440645;14,445161;62,822581;
2020-06-30;160,2;25,937931;20,404;16,456667;73,325;
2020-07-31;26,2;26,212903;19,768387;15,16129;62,556452;
2020-08-31;186,8;26,451613;20,392258;15,635484;58,875;
2020-09-30;10,6;32,976667;26,051333;20,396667;45,948276;
2020-10-31;155,8;32,719355;25,832903;20,077419;54,177419;
2020-11-30;null;null;null;null;null;
2020-12-31;208,5;30,46129;25,110323;20,922581;71,096774;
2021-01-31;371,5;28,909677;24,518065;21,380645;80,064516;
2021-02-28;13,3;30,478571;24,880714;20,035714;63,111111;
2021-03-31;145,2;31,729032;25,485161;20,832258;65,6;
2021-04-30;3,1;29,11;24,131111;17,866667;56,327586;
