data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2020-01-12,202003,1.0,1,1,1,0.582406,0.73622,0,1,310560820200318653,2021-01-26,0.0,1.0,135829.0,18.0,92.0,1,0,0,7
2020-05-10,202020,0.0,0,0,0,0.0,0.0,0,1,310560820202018773,2021-05-26,0.0,0.0,138204.0,11.0,95.0,0,0,0,7
2020-05-17,202021,0.0,0,0,0,0.0,0.0,0,1,310560820202118773,2021-05-26,2.0,0.0,138204.0,13.0,95.0,0,0,0,7
2020-05-24,202022,0.0,0,0,0,0.0,0.0,0,1,310560820202218773,2021-05-26,2.0,0.0,138204.0,13.0,81.0,0,0,0,7
2020-05-31,202023,0.0,0,0,0,0.0,0.0,0,1,310560820202318773,2021-05-26,0.0,0.0,138204.0,15.0,82.0,0,0,0,7
2020-07-12,202029,0.0,0,0,0,0.0,0.0,0,1,310560820202918773,2021-05-26,4.0,0.0,138204.0,16.0,82.0,0,0,0,7
2020-07-26,202031,1.0,1,1,1,0.963267,0.723568,0,1,310560820203118773,2021-05-26,0.0,19.0,138204.0,12.0,94.0,0,0,0,7
2020-08-02,202032,0.0,0,0,0,0.0,0.0,0,1,310560820203218773,2021-05-26,1.0,0.0,138204.0,10.0,95.0,0,0,0,7
2020-08-09,202033,0.0,0,0,0,0.0,0.0,0,1,310560820203318773,2021-05-26,1.0,0.0,138204.0,13.0,90.0,0,0,0,7
2020-08-16,202034,1.0,1,1,1,0.814529,0.723568,0,1,310560820203418773,2021-05-26,0.0,3.0,138204.0,14.0,92.0,0,0,0,7
2020-08-23,202035,0.0,0,0,0,0.0,0.0,0,1,310560820203518773,2021-05-26,0.0,0.0,138204.0,10.0,95.0,0,0,0,7
2020-09-13,202038,0.0,0,0,0,0.0,0.0,0,1,310560820203818773,2021-05-26,0.0,0.0,138204.0,15.0,78.0,0,0,0,7
2020-09-27,202040,0.0,0,0,0,0.0,0.0,0,1,310560820204018773,2021-05-26,1.0,0.0,138204.0,16.0,88.0,0,0,0,7
2020-10-04,202041,0.0,0,0,0,0.0,0.0,0,1,310560820204118773,2021-05-26,1.0,0.0,138204.0,18.0,89.0,0,0,0,7
2020-10-11,202042,0.0,0,0,0,0.0,0.0,0,1,310560820204218773,2021-05-26,0.0,0.0,138204.0,15.0,90.0,0,0,0,7
