data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2011-04-03,201114,48.0,48,48,48,0.359236,11.9088,0,1,411520020111418606,2020-12-10,,1.0,403063.0,18.0,,0,0,1,1850
2012-01-08,201202,19.0,19,19,19,0.400798,4.7139,0,1,411520020120218606,2020-12-10,,1.0,403063.0,20.0,,0,0,0,1850
2012-04-01,201214,16.0,16,16,16,0.352564,3.9696,0,1,411520020121418606,2020-12-10,,1.0,403063.0,18.0,,0,0,0,1850
2012-07-15,201229,2.0,2,2,2,0.0331116,0.4962,0,1,411520020122918606,2020-12-10,,0.0,403063.0,9.0,,0,0,0,1850
2013-03-24,201313,460.0,460,460,460,0.539499,114.126,0,4,411520020131318606,2020-12-10,19.0,1.0,403063.0,18.0,,0,0,2,1850
2013-04-21,201317,323.0,323,323,323,5.50641e-09,80.1364,0,4,411520020131718606,2020-12-10,17.0,1.0,403063.0,15.0,,0,0,2,1850
2013-05-05,201319,141.0,141,141,141,0.0,34.9821,0,2,411520020131918606,2020-12-10,9.0,0.0,403063.0,12.0,,0,0,1,1850
2013-06-02,201323,38.0,38,38,38,1.85826e-10,9.42781,0,1,411520020132318606,2020-12-10,4.0,0.0,403063.0,15.0,,0,0,1,1850
2013-06-30,201327,15.0,15,15,15,0.245757,3.7215,0,1,411520020132718606,2020-12-10,1.0,1.0,403063.0,15.0,,0,0,0,1850
2014-02-09,201407,404.0,404,404,404,1.0,100.232,0,4,411520020140718606,2020-12-10,7.0,2.0,403063.0,23.0,,1,1,2,1850
2014-03-23,201413,983.0,983,983,983,1.0,243.882,0,4,411520020141318606,2020-12-10,10.0,1.0,403063.0,19.0,,0,1,2,1850
2014-07-27,201431,2.0,2,2,2,0.533515,0.4962,0,1,411520020143118606,2020-12-10,1.0,1.0,403063.0,15.0,,0,0,0,1850
2014-12-28,201453,5.0,5,5,5,0.0172753,1.2405,0,1,411520020145318606,2020-12-10,1.0,0.0,403063.0,22.0,,0,0,0,1850
2015-02-01,201505,41.0,41,41,41,0.674846,10.1721,0,1,411520020150518606,2020-12-10,4.0,1.0,403063.0,20.0,,0,0,1,1850
2015-05-03,201518,295.0,295,295,295,0.884252,73.1896,0,4,411520020151818606,2020-12-10,8.0,1.0,403063.0,16.0,,0,0,2,1850
2016-09-25,201639,71.0,71,71,71,0.99282,17.6151,0,3,411520020163918606,2020-12-10,2.0,2.0,403063.0,14.0,,0,1,1,1850
2016-11-06,201645,71.0,71,71,71,0.0260328,17.6151,0,1,411520020164518606,2020-12-10,4.0,1.0,403063.0,20.0,,0,0,1,1850
2018-11-04,201845,22.0,22,22,22,0.794344,5.4582,0,1,411520020184518606,2020-12-10,,1.0,403063.0,18.0,,0,0,0,1850
2020-04-05,202015,500.0,500,500,500,0.0100289,116.237,0,4,411520020201518738,2021-04-21,75.0,1.0,430157.0,20.0,,1,0,2,1850
