Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-04-30;280.4;30.706667;25.916667;23.09;74.566667;
2010-05-31;45.3;29.183871;24.197419;21.164516;73.927419;
2010-06-30;42.7;26.94;21.782667;18.436667;72.783333;
2010-07-31;79;28.912903;23.443871;20.064516;71.919355;
2010-08-31;20.9;28.009677;22.591613;19.1;68.096774;
2010-09-30;36.9;29.163333;23.948;20.606667;70.308333;
2010-10-31;118.5;28.416129;23.925806;20.851613;69.733871;
2010-11-30;67.3;29.89;25.562667;22.476667;74.591667;
2010-12-31;291.6;32.967742;27.904516;24.777419;75.774194;
2011-01-31;78.7;34.735484;29.285161;25.925806;68.919355;
2011-02-28;8.5;35.310714;29.485;25.846429;63.3125;
2011-03-31;100.6;30.567742;26.234194;23.816129;78.983871;
2011-04-30;164.5;31.91;26.592;23.66;75.066667;
2011-05-31;118.1;27.496774;22.743226;20.016129;77.266129;
2011-06-30;32.7;26.966667;21.638;18.353333;76.841667;
2011-07-31;16.1;27.348387;21.842581;18.5;74.266129;
2011-08-31;9.3;28.916129;23.148387;19.596774;70.370968;
2011-09-30;40.8;27.3;22.177333;18.813333;69.833333;
2011-10-31;109.8;29.370968;24.169032;20.916129;73.475806;
2011-11-30;93.3;27.95;23.804667;20.62;72.8;
2011-12-31;116.1;31.058065;26.145806;22.958065;74.120968;
2012-01-31;220.9;31.551613;26.545806;23.487097;75.370968;
2012-02-29;62.8;34.837931;28.656552;24.62069;65.137931;
2012-03-31;84.1;32.590323;26.927742;24.051613;73.959677;
2012-04-30;45.4;30.893333;25.922667;23.026667;76.7;
2012-05-31;128.8;28.258065;23.134839;19.835484;76.41129;
2012-06-30;71.1;28.3;23.602667;20.72;78.466667;
2012-07-31;26.2;28.296774;22.948387;19.609677;73;
2012-08-31;17.9;29.096774;23.114839;19.603226;70.927419;
2012-09-30;87.9;29.603333;23.864;20.29;68.358333;
2012-10-31;66.4;32.13871;26.041935;22.16129;68.782258;
2012-11-30;93.2;28.873333;24.75;22.126667;76.525;
2012-12-31;37;35.13871;29.470968;25.909677;68.306452;
2013-01-31;334.7;31.580645;26.785161;23.632258;76.137097;
2013-02-28;78.1;34.828571;29.109286;25.503571;69.651786;
2013-03-31;228.2;31.709677;26.801935;24.006452;77.008065;
2013-04-30;78.4;29.96;25.024667;22.086667;74.058333;
2013-05-31;68.8;29.319355;24.001935;20.735484;72.346774;
2013-06-30;25.3;28.169565;23.617143;20.442857;74.654762;
2013-07-31;101.1;25.712903;21.414194;18.270968;72.862903;
2013-08-31;5.6;27.106452;22.590968;19.112903;66.83871;
2013-09-30;62.7;28.183333;23.929333;20.57;66.975;
2013-10-31;61.1;27.625806;23.921935;21.135484;72.258065;
2013-11-30;111.6;29.27;25.071333;21.84;73.616667;
2013-12-31;185.6;30.054839;26.283871;23.6;75.556452;
2014-01-31;58.1;33.964516;29.374194;25.409677;63.241935;
2014-02-28;9.1;33.621429;29.156429;25.489286;60.642857;
2014-03-31;80.5;31.864516;27.387097;24.216129;69.370968;
2014-04-30;100.4;29.023333;25.014;22.083333;74.258333;
2014-05-31;26.7;27.809677;23.566452;20.303226;73.145161;
2014-06-30;42.7;27.866667;23.464;20.423333;72.991667;
2014-07-31;87.5;25.970968;22.017419;19.054839;73.629032;
2014-08-31;18.1;27.126667;22.313103;18.653333;68.775862;
2014-09-30;29.6;29.16;24.048;20.323333;66.933333;
2014-10-31;28.4;28.93871;24.436129;21.093548;68.653226;
2014-11-30;59;29.486667;25.565333;22.636667;69.808333;
2014-12-31;44.9;32.783871;27.949032;24.522581;67.814516;
2015-01-31;39.2;34.612903;29.816129;26.125806;64.58871;
2015-02-28;79.3;33.325;28.498571;25.482143;70.232143;
2015-03-31;158.3;30.658065;26.887097;24.23871;77.395161;
2015-04-30;52.7;29.38;25.444667;22.836667;76.808333;
2015-05-31;64.2;27.545161;23.628387;20.654839;76.516129;
2015-06-30;65.5;27.38;22.866;19.283333;78.283333;
2015-07-31;11.4;27.596774;23.287742;20.154839;78.08871;
2015-08-31;4.1;28.874194;23.74129;19.867742;74.653226;
2015-09-30;81.2;28.356667;24.296667;21.093333;76.691667;
2015-10-31;10.6;29.558065;25.389677;22.303226;71.774194;
2015-11-30;162.1;29.793333;25.992;23.36;77.383333;
2015-12-31;106.8;32.790323;28.122581;24.629032;68.83871;
2016-01-31;171.6;31.054839;26.95871;24.174194;75.129032;
2016-02-29;118.3;34.244828;28.528276;25.058621;70.456897;
2016-03-31;205;31.719355;27.673548;24.674194;74.475806;
2016-04-30;5.7;31.766667;27.33;24.066667;70;
2016-05-31;53.5;27.316129;23.176129;20.051613;79.879032;
2016-06-30;81.7;24.193333;20.758667;18.196667;80.575;
2016-07-31;1.5;27.009677;22.313548;19.206452;71.416667;
2016-08-31;31.2;27.422581;22.774839;19.377419;67.854839;
2016-09-30;123.2;27.25;23.241333;20.34;73.566667;
2016-10-31;50.4;28.109677;24.245161;21.396774;72.201613;
2016-11-30;167;28.766667;25.192667;22.313333;74.241667;
2016-12-31;103.8;31.56129;27.403226;24.051613;null;
2017-01-31;48.9;33.751613;29.348387;25.912903;null;
2017-02-28;23;33.05;28.847857;25.667857;null;
2017-03-31;90.6;31.109677;26.726452;23.687097;null;
2017-04-30;28;null;null;null;null;

