data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2010-01-03,201001,111.0,111,111,111,0.0,4.41624,0,1,310620020100118573,2020-11-07,,0.0,2513451.0,19.0,88.0,1,0,0,4356
2010-01-10,201002,271.0,271,271,271,0.0,10.782,0,1,310620020100218573,2020-11-07,,0.0,2513451.0,21.0,87.0,1,0,1,4356
2010-01-17,201003,285.0,285,285,285,0.0,11.339,0,2,310620020100318573,2020-11-07,,0.0,2513451.0,20.0,87.0,1,0,1,4356
2010-01-24,201004,539.0,539,539,539,0.0,21.4446,0,2,310620020100418573,2020-11-07,,0.0,2513451.0,20.0,87.0,1,0,1,4356
2010-01-31,201005,811.0,811,811,811,0.0,32.2664,0,2,310620020100518573,2020-11-07,,0.0,2513451.0,20.0,82.0,1,0,1,4356
2010-02-07,201006,768.0,768,768,768,1.0,30.5556,0,2,310620020100618573,2020-11-07,,1.0,2513451.0,20.0,85.0,1,1,1,4356
2010-02-14,201007,497.0,497,497,497,2.75137e-08,19.7736,0,2,310620020100718573,2020-11-07,,1.0,2513451.0,20.0,85.0,1,0,1,4356
2010-02-21,201008,1068.0,1068,1068,1068,1.0,42.4914,0,2,310620020100818573,2020-11-07,,2.0,2513451.0,21.0,88.0,1,1,1,4356
2010-02-28,201009,1431.0,1431,1431,1431,1.0,56.9337,0,3,310620020100918573,2020-11-07,,2.0,2513451.0,21.0,95.0,1,1,1,4356
2010-03-07,201010,1770.0,1770,1770,1770,1.0,70.4211,0,3,310620020101018573,2020-11-07,,2.0,2513451.0,20.0,91.0,1,1,1,4356
2010-03-14,201011,2685.0,2685,2685,2685,1.0,106.825,0,3,310620020101118573,2020-11-07,,2.0,2513451.0,19.0,92.0,1,1,2,4356
2010-03-21,201012,2767.0,2767,2767,2767,1.0,110.088,0,4,310620020101218573,2020-11-07,,1.0,2513451.0,20.0,90.0,1,1,2,4356
2010-03-28,201013,2062.0,2062,2062,2062,3.12191e-06,82.0386,0,4,310620020101318573,2020-11-07,,1.0,2513451.0,20.0,89.0,1,0,2,4356
2010-04-04,201014,2147.0,2147,2147,2147,9.54869e-07,85.4204,0,4,310620020101418573,2020-11-07,,1.0,2513451.0,17.0,91.0,1,0,2,4356
2010-04-11,201015,2201.0,2201,2201,2201,0.108953,87.5688,0,4,310620020101518573,2020-11-07,,1.0,2513451.0,16.0,89.0,1,0,2,4356
2010-04-18,201016,1780.0,1780,1780,1780,2.58936e-09,70.819,0,2,310620020101618573,2020-11-07,,1.0,2513451.0,19.0,89.0,1,0,1,4356
2010-04-25,201017,1871.0,1871,1871,1871,0.00180524,74.4395,0,2,310620020101718573,2020-11-07,,1.0,2513451.0,19.0,89.0,1,0,1,4356
