data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2019-06-30,201927,29.0,29,29,29,0.785029,1.53115,0,1,410690220192718606,2020-12-10,13.0,1.0,1893997.0,11.0,,0,0,1,137
2020-07-19,202030,6.0,6,6,6,0.415686,0.307909,0,1,410690220203018765,2021-05-18,89.0,1.0,1948626.0,12.0,,0,0,0,137
2010-03-21,201012,11.0,11,11,11,0.235188,0.580782,0,1,410690220101218606,2020-12-10,,1.0,1893997.0,17.0,,0,0,0,137
2010-03-28,201013,14.0,14,14,14,0.563867,0.739178,0,1,410690220101318606,2020-12-10,,1.0,1893997.0,16.0,,0,0,1,137
2012-06-10,201224,3.0,3,3,3,0.118178,0.158395,0,1,410690220122418606,2020-12-10,,0.0,1893997.0,11.0,,0,0,0,137
2012-06-24,201226,2.0,2,2,2,0.19881,0.105597,0,1,410690220122618606,2020-12-10,,1.0,1893997.0,10.0,,0,0,0,137
2012-12-30,201301,8.0,8,8,8,0.967118,0.422387,0,1,410690220130118606,2020-12-10,9.0,3.0,1893997.0,17.0,,0,0,0,137
2013-01-20,201304,43.0,43,43,43,0.988888,2.27033,0,1,410690220130418606,2020-12-10,22.0,2.0,1893997.0,16.0,,0,1,1,137
2014-04-27,201418,20.0,20,20,20,0.752629,1.05597,0,1,410690220141818606,2020-12-10,11.0,1.0,1893997.0,11.0,,0,0,1,137
2014-12-14,201451,3.0,3,3,3,0.39719,0.158395,0,1,410690220145118606,2020-12-10,11.0,1.0,1893997.0,16.0,,0,0,0,137
2016-06-12,201624,24.0,24,24,24,0.00376408,1.26716,0,2,410690220162418606,2020-12-10,2.0,1.0,1893997.0,6.0,,0,0,1,137
2017-05-14,201720,23.0,23,23,23,0.29011,1.21436,0,1,410690220172018606,2020-12-10,4.0,1.0,1893997.0,13.0,,0,0,1,137
2018-10-21,201843,11.0,11,11,11,0.701312,0.580782,0,1,410690220184318606,2020-12-10,,1.0,1893997.0,14.0,,0,0,0,137
2018-11-04,201845,10.0,10,10,10,0.586478,0.527984,0,1,410690220184518606,2020-12-10,,1.0,1893997.0,14.0,,0,0,0,137
2019-05-26,201922,36.0,36,36,36,0.368471,1.90074,0,1,410690220192218606,2020-12-10,33.0,1.0,1893997.0,13.0,,0,0,1,137
2017-07-30,201731,21.0,21,21,21,0.991053,1.10877,0,1,410690220173118606,2020-12-10,2.0,2.0,1893997.0,11.0,,0,1,1,137
2020-02-23,202009,2.0,2,2,2,0.314103,0.102636,0,1,410690220200918695,2021-03-09,158.0,1.0,1948626.0,15.0,,0,0,0,137
2020-03-01,202010,1.0,1,1,1,0.194877,0.0513182,0,1,410690220201018702,2021-03-16,47.0,0.0,1948626.0,14.0,,0,0,0,137
2020-03-08,202011,0.0,0,0,0,0.0,0.0,0,1,410690220201118715,2021-03-29,230.0,0.0,1948626.0,17.0,,0,0,0,137
2020-03-29,202014,24.0,24,24,24,5.00589e-06,1.23164,0,2,410690220201418730,2021-04-13,149.0,0.0,1948626.0,17.0,,0,0,1,137
2020-03-15,202012,0.0,0,0,0,0.0,0.0,0,1,410690220201218715,2021-03-29,414.0,0.0,1948626.0,19.0,,0,0,0,137
2020-12-06,202050,2.0,2,2,2,0.323823,0.102636,0,1,410690220205018765,2021-05-18,,1.0,1948626.0,18.0,,0,0,0,137
2015-06-14,201524,30.0,30,30,30,0.341485,1.58395,0,1,410690220152418606,2020-12-10,12.0,1.0,1893997.0,8.0,,0,0,1,137
2019-09-22,201939,10.0,10,10,10,0.443496,0.527984,0,1,410690220193918606,2020-12-10,10.0,1.0,1893997.0,10.0,,0,0,0,137
