data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2010-01-03,201001,19.0,19,19,19,0.0,8.15643,0,1,312230620100118573,2020-11-07,,0.0,232945.0,19.0,88.0,1,,2,183
2010-01-10,201002,25.0,25,25,25,0.0,10.7321,0,4,312230620100218573,2020-11-07,,0.0,232945.0,21.0,87.0,1,,2,183
2010-01-17,201003,51.0,51,51,51,0.0,21.8936,0,4,312230620100318573,2020-11-07,,0.0,232945.0,20.0,87.0,1,,2,183
2010-01-24,201004,24.0,24,24,24,0.0,10.3029,0,4,312230620100418573,2020-11-07,,0.0,232945.0,20.0,87.0,1,,2,183
2010-01-31,201005,71.0,71,71,71,0.0,30.4793,0,4,312230620100518573,2020-11-07,,0.0,232945.0,20.0,82.0,1,,2,183
2010-02-07,201006,61.0,61,61,61,0.954327,26.1864,0,4,312230620100618573,2020-11-07,,1.0,232945.0,20.0,85.0,1,1.0,2,183
2010-02-14,201007,46.0,46,46,46,0.204063,19.7472,0,4,312230620100718573,2020-11-07,,1.0,232945.0,20.0,85.0,1,0.0,2,183
2010-02-21,201008,179.0,179,179,179,1.0,76.8422,0,4,312230620100818573,2020-11-07,,3.0,232945.0,21.0,88.0,1,1.0,2,183
2010-02-28,201009,244.0,244,244,244,1.0,104.746,0,4,312230620100918573,2020-11-07,,3.0,232945.0,21.0,95.0,1,1.0,2,183
2010-03-07,201010,360.0,360,360,360,1.0,154.543,0,4,312230620101018573,2020-11-07,,2.0,232945.0,20.0,91.0,1,1.0,2,183
2010-03-14,201011,267.0,267,267,267,0.835414,114.619,0,4,312230620101118573,2020-11-07,,1.0,232945.0,19.0,92.0,1,0.0,2,183
2010-03-21,201012,297.0,297,297,297,0.562548,127.498,0,4,312230620101218573,2020-11-07,,1.0,232945.0,20.0,90.0,1,0.0,2,183
2010-03-28,201013,203.0,203,203,203,3.91489e-05,87.145,0,4,312230620101318573,2020-11-07,,1.0,232945.0,20.0,89.0,1,0.0,2,183
