data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2020-03-08,202011,771.0,771,771,771,0.925813,28.6979,0,2,230440020201118701,2021-03-15,109.0,1.0,2686612.0,25.0,91.0,1,0,1,4593
2020-04-05,202015,411.0,411,411,411,0.851717,15.2981,0,2,230440020201518739,2021-04-22,131.0,1.0,2686612.0,26.0,91.0,1,0,1,4593
2020-02-09,202007,527.0,527,527,527,1.0,19.6158,0,3,230440020200718689,2021-03-03,13.0,2.0,2686612.0,26.0,87.0,1,1,1,4593
2020-03-22,202013,297.0,297,297,297,0.0,11.0548,0,2,230440020201318724,2021-04-07,137.0,0.0,2686612.0,26.0,89.0,1,0,1,4593
2020-02-02,202006,399.0,399,399,399,1.0,14.8514,0,3,230440020200618689,2021-03-03,25.0,2.0,2686612.0,25.0,91.0,1,1,1,4593
2020-04-12,202016,535.0,535,535,535,1.0,19.9136,0,2,230440020201618744,2021-04-27,100.0,1.0,2686612.0,25.0,91.0,1,1,1,4593
2010-01-31,201005,99.0,99,99,99,0.0,3.79352,0,2,230440020100518611,2020-12-15,,0.0,2609716.0,,89.0,1,0,0,4593
2010-02-14,201007,62.0,62,62,62,0.129985,2.37574,0,2,230440020100718611,2020-12-15,,1.0,2609716.0,,91.0,1,0,0,4593
2010-02-28,201009,86.0,86,86,86,0.96232,3.29538,0,2,230440020100918611,2020-12-15,,1.0,2609716.0,,88.0,1,0,0,4593
2010-04-18,201016,76.0,76,76,76,0.307427,2.91219,0,2,230440020101618611,2020-12-15,,1.0,2609716.0,,98.0,1,0,0,4593
2010-04-25,201017,106.0,106,106,106,0.987418,4.06174,0,2,230440020101718611,2020-12-15,,1.0,2609716.0,,93.0,1,0,0,4593
2010-05-09,201019,82.0,82,82,82,0.321099,3.1421,0,2,230440020101918611,2020-12-15,,1.0,2609716.0,,94.0,1,0,0,4593
2010-05-30,201022,137.0,137,137,137,0.998412,5.24961,0,2,230440020102218611,2020-12-15,,1.0,2609716.0,,97.0,1,0,0,4593
2010-06-06,201023,132.0,132,132,132,0.93302,5.05802,0,2,230440020102318611,2020-12-15,,1.0,2609716.0,,92.0,1,0,0,4593
2010-06-13,201024,136.0,136,136,136,0.7544,5.2113,0,2,230440020102418611,2020-12-15,,1.0,2609716.0,,92.0,1,0,0,4593
2010-06-20,201025,112.0,112,112,112,0.111649,4.29165,0,2,230440020102518611,2020-12-15,,1.0,2609716.0,,89.0,1,0,0,4593
2010-07-11,201028,178.0,178,178,178,0.998387,6.82067,0,2,230440020102818611,2020-12-15,,1.0,2609716.0,,94.0,1,1,1,4593
2010-09-05,201036,182.0,182,182,182,0.783483,6.97394,0,1,230440020103618611,2020-12-15,,1.0,2609716.0,,85.0,0,0,1,4593
2011-09-11,201137,99.0,99,99,99,0.0757198,3.79352,0,1,230440020113718611,2020-12-15,,1.0,2609716.0,,87.0,1,0,0,4593
2011-09-18,201138,131.0,131,131,131,0.962963,5.0197,0,1,230440020113818611,2020-12-15,,1.0,2609716.0,,86.0,0,0,0,4593
2011-09-25,201139,117.0,117,117,117,0.77644,4.48325,0,1,230440020113918611,2020-12-15,,1.0,2609716.0,,87.0,0,0,0,4593
2011-12-25,201152,145.0,145,145,145,0.967701,5.55616,0,1,230440020115218611,2020-12-15,,1.0,2609716.0,,87.0,1,0,0,4593
2012-05-27,201222,2715.0,2715,2715,2715,0.0,104.034,0,4,230440020122218611,2020-12-15,,1.0,2609716.0,,86.0,0,0,2,4593
2012-06-10,201224,1445.0,1445,1445,1445,0.0,55.37,0,4,230440020122418611,2020-12-15,,0.0,2609716.0,,86.0,0,0,2,4593
2012-07-08,201228,320.0,320,320,320,0.0,12.2619,0,2,230440020122818611,2020-12-15,,1.0,2609716.0,,83.0,0,0,1,4593
2012-07-15,201229,205.0,205,205,205,0.0,7.85526,0,1,230440020122918611,2020-12-15,,0.0,2609716.0,,83.0,0,0,1,4593
2012-07-22,201230,223.0,223,223,223,1.7813e-05,8.54499,0,1,230440020123018611,2020-12-15,,1.0,2609716.0,,79.0,0,0,1,4593
2012-08-05,201232,137.0,137,137,137,4.46964e-05,5.24961,0,1,230440020123218611,2020-12-15,14.0,1.0,2609716.0,,79.0,0,0,0,4593
2012-09-02,201236,69.0,69,69,69,0.015904,2.64397,0,1,230440020123618611,2020-12-15,7.0,1.0,2609716.0,,74.0,0,0,0,4593
2012-11-25,201248,28.0,28,28,28,0.00997126,1.07291,0,1,230440020124818611,2020-12-15,11.0,1.0,2609716.0,,75.0,0,0,0,4593
2012-12-16,201251,34.0,34,34,34,0.285316,1.30282,0,1,230440020125118611,2020-12-15,10.0,1.0,2609716.0,,79.0,0,0,0,4593
