data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2020-02-09,202007,73.0,73,73,73,0.365165,1.12328,0,2,330455720200718681,2021-02-23,21.0,1.0,6498837.0,23.0,,1,0,0,513
2020-04-12,202016,36.0,36,36,36,0.459864,0.533506,0,1,330455720201618745,2021-04-28,74.0,1.0,6747815.0,21.0,,0,0,0,513
2020-07-05,202028,17.0,17,17,17,0.723715,0.251933,0,1,330455720202818773,2021-05-26,52.0,1.0,6747815.0,17.0,,0,0,0,513
2020-10-18,202043,20.0,20,20,20,0.923595,0.296392,0,1,330455720204318773,2021-05-26,19.0,2.0,6747815.0,21.0,,0,0,0,513
2020-01-19,202004,87.0,87,87,87,0.734543,1.3387,0,1,330455720200418659,2021-02-01,10.0,1.0,6498837.0,22.0,,0,0,0,513
2019-12-29,202001,25.0,25,25,25,1.13209e-05,0.384684,0,2,330455720200118638,2021-01-11,12.0,0.0,6498837.0,24.0,,1,0,0,513
2011-04-03,201114,7117.0,7117,7117,7117,1.0,109.512,0,4,330455720111418603,2020-12-07,,2.0,6498837.0,22.0,,1,1,2,513
2012-01-01,201201,903.0,903,903,903,0.00128676,13.8948,0,2,330455720120118603,2020-12-07,,1.0,6498837.0,22.0,,0,0,1,513
2012-08-19,201234,377.0,377,377,377,5.3303e-05,5.80104,0,1,330455720123418603,2020-12-07,55.0,1.0,6498837.0,17.0,,0,0,1,513
2013-07-28,201331,92.0,92,92,92,1.45589e-07,1.41564,0,1,330455720133118603,2020-12-07,148.0,1.0,6498837.0,15.0,,0,0,0,513
2016-04-24,201617,2693.0,2693,2693,2693,0.228703,41.4382,0,4,330455720161718603,2020-12-07,105.0,1.0,6498837.0,22.0,,0,0,2,513
2016-09-11,201637,46.0,46,46,46,0.0277708,0.707819,0,1,330455720163718603,2020-12-07,10.0,1.0,6498837.0,21.0,,0,0,0,513
2017-12-31,201801,72.0,72,72,72,0.696713,1.10789,0,2,330455720180118603,2020-12-07,23.0,1.0,6498837.0,24.0,,1,0,0,513
2020-02-16,202008,65.0,65,65,65,0.368076,0.963275,0,2,330455720200818688,2021-03-02,35.0,1.0,6747815.0,25.0,,1,0,0,513
2020-05-31,202023,13.0,13,13,13,0.267987,0.192655,0,1,330455720202318773,2021-05-26,23.0,1.0,6747815.0,18.0,,0,0,0,513
2020-06-07,202024,18.0,18,18,18,0.679482,0.266753,0,1,330455720202418773,2021-05-26,28.0,1.0,6747815.0,20.0,,0,0,0,513
2020-06-21,202026,12.0,12,12,12,0.217334,0.177835,0,1,330455720202618773,2021-05-26,567.0,1.0,6747815.0,18.0,,0,0,0,513
2020-11-22,202048,12.0,12,12,12,0.0418346,0.177835,0,1,330455720204818773,2021-05-26,,1.0,6747815.0,21.0,,0,0,0,513
2020-11-29,202049,17.0,17,17,17,0.270435,0.251933,0,1,330455720204918773,2021-05-26,,1.0,6747815.0,21.0,,0,0,0,513
2020-12-13,202051,8.0,8,8,8,0.104351,0.118557,0,1,330455720205118773,2021-05-26,,1.0,6747815.0,22.0,,1,0,0,513
2020-12-20,202052,6.0,6,6,6,0.116442,0.0889177,0,1,330455720205218773,2021-05-26,,1.0,6747815.0,23.0,,1,0,0,513
2021-02-21,202108,23.0,23,23,23,0.776474,0.340851,0,2,330455720210818773,2021-05-26,38.0,1.0,6747815.0,23.0,,1,0,0,513
2021-02-28,202109,21.0,21,21,21,0.643854,0.311212,0,2,330455720210918773,2021-05-26,11.0,1.0,6747815.0,24.0,,1,0,0,513
2021-03-07,202110,28.0,28,28,29,0.848122,0.414949,0,2,330455720211018773,2021-05-26,142.0,1.0,6747815.0,23.0,,1,0,0,513
2021-03-14,202111,34.0,33,37,36,0.917974,0.503867,0,2,330455720211118773,2021-05-26,12.0,1.0,6747815.0,24.0,,1,0,0,513
2021-03-21,202112,41.0,39,46,40,0.942691,0.607604,0,2,330455720211218773,2021-05-26,24.0,1.0,6747815.0,24.0,,1,0,0,513
2021-03-28,202113,45.0,42,51,42,0.895266,0.666883,0,2,330455720211318773,2021-05-26,35.0,1.0,6747815.0,23.0,,1,0,0,513
2021-04-11,202115,52.0,47,62,44,0.696051,0.77062,0,1,330455720211518773,2021-05-26,32.0,1.0,6747815.0,20.0,,0,0,0,513
2020-02-02,202006,59.0,59,59,59,0.00563383,0.907855,0,1,330455720200618677,2021-02-19,64.0,1.0,6498837.0,24.0,,1,0,0,513
2020-02-23,202009,46.0,46,46,46,0.0272935,0.681702,0,1,330455720200918695,2021-03-09,139.0,1.0,6747815.0,22.0,,0,0,0,513
2020-03-01,202010,73.0,73,73,73,0.824144,1.08183,0,1,330455720201018701,2021-03-15,28.0,1.0,6747815.0,21.0,,0,0,0,513
2020-03-08,202011,60.0,60,60,60,0.529449,0.889177,0,1,330455720201118710,2021-03-24,157.0,1.0,6747815.0,22.0,,1,0,0,513
2020-03-15,202012,42.0,42,42,42,0.0304392,0.622424,0,1,330455720201218717,2021-03-31,385.0,1.0,6747815.0,23.0,,1,0,0,513
2010-09-05,201036,64.0,64,64,64,0.0230516,0.984792,0,1,330455720103618603,2020-12-07,,1.0,6498837.0,18.0,,0,0,0,513
2012-10-28,201244,191.0,191,191,191,0.131753,2.93899,0,1,330455720124418603,2020-12-07,59.0,1.0,6498837.0,23.0,,1,0,0,513
2012-11-04,201245,225.0,225,225,225,0.704823,3.46216,0,2,330455720124518603,2020-12-07,53.0,1.0,6498837.0,22.0,,1,0,1,513
2017-09-10,201737,31.0,31,31,31,0.709241,0.477008,0,1,330455720173718603,2020-12-07,12.0,1.0,6498837.0,17.0,,0,0,0,513
2019-01-27,201905,178.0,178,178,178,0.156043,2.73895,0,2,330455720190518603,2020-12-07,18.0,1.0,6498837.0,26.0,,1,0,0,513
2010-01-03,201001,30.0,30,30,30,0.0,0.461621,0,1,330455720100118603,2020-12-07,,0.0,6498837.0,25.0,,1,0,0,513
2011-10-16,201142,348.0,348,348,348,1.0,5.3548,0,3,330455720114218603,2020-12-07,,2.0,6498837.0,18.0,,0,1,1,513
2012-02-05,201206,2409.0,2409,2409,2409,1.0,37.0682,0,4,330455720120618603,2020-12-07,,1.0,6498837.0,24.0,,1,1,2,513
2012-06-17,201225,3410.0,3410,3410,3410,0.0,52.4709,0,4,330455720122518603,2020-12-07,,1.0,6498837.0,20.0,,0,0,2,513
2012-08-05,201232,452.0,452,452,452,7.35195e-10,6.95509,0,1,330455720123218603,2020-12-07,84.0,1.0,6498837.0,16.0,,0,0,1,513
2012-11-18,201247,206.0,206,206,206,0.510564,3.1698,0,1,330455720124718603,2020-12-07,58.0,1.0,6498837.0,21.0,,0,0,0,513
2016-06-19,201625,311.0,311,311,311,0.0,4.78547,0,1,330455720162518603,2020-12-07,42.0,0.0,6498837.0,18.0,,0,0,1,513
2016-10-02,201640,34.0,34,34,34,0.0442298,0.523171,0,1,330455720164018603,2020-12-07,12.0,1.0,6498837.0,18.0,,0,0,0,513
2016-11-06,201645,52.0,52,52,52,0.409004,0.800143,0,1,330455720164518603,2020-12-07,28.0,1.0,6498837.0,22.0,,0,0,0,513
2017-01-01,201701,164.0,164,164,164,0.978458,2.52353,0,2,330455720170118603,2020-12-07,68.0,1.0,6498837.0,26.0,,1,0,0,513
2017-01-15,201703,199.0,199,199,199,0.967076,3.06209,0,2,330455720170318603,2020-12-07,20.0,1.0,6498837.0,24.0,,1,0,0,513
2017-01-22,201704,297.0,297,297,297,1.0,4.57005,0,2,330455720170418603,2020-12-07,51.0,2.0,6498837.0,25.0,,1,1,1,513
2017-04-02,201714,117.0,117,117,117,0.0639683,1.80032,0,1,330455720171418603,2020-12-07,18.0,1.0,6498837.0,22.0,,0,0,0,513
2017-10-22,201743,63.0,63,63,63,0.848763,0.969404,0,1,330455720174318603,2020-12-07,13.0,1.0,6498837.0,22.0,,0,0,0,513
2018-01-07,201802,81.0,81,81,81,0.919986,1.24638,0,2,330455720180218603,2020-12-07,28.0,1.0,6498837.0,24.0,,1,0,0,513
2018-01-28,201805,103.0,103,103,103,0.3562,1.5849,0,2,330455720180518603,2020-12-07,13.0,1.0,6498837.0,23.0,,1,0,0,513
2018-02-18,201808,124.0,124,124,124,0.92651,1.90803,0,2,330455720180818603,2020-12-07,18.0,1.0,6498837.0,24.0,,1,0,0,513
2018-04-15,201816,247.0,247,247,247,0.263005,3.80068,0,2,330455720181618603,2020-12-07,13.0,1.0,6498837.0,21.0,,0,0,1,513
2018-10-28,201844,76.0,76,76,76,0.949107,1.16944,0,1,330455720184418603,2020-12-07,,1.0,6498837.0,22.0,,0,0,0,513
2018-12-30,201901,150.0,150,150,150,0.77766,2.30811,0,2,330455720190118603,2020-12-07,11.0,1.0,6498837.0,25.0,,1,0,0,513
2019-06-16,201925,639.0,639,639,639,0.0,9.83253,0,1,330455720192518603,2020-12-07,143.0,1.0,6498837.0,19.0,,0,0,1,513
2019-07-07,201928,399.0,399,399,399,3.33067e-16,6.13956,0,1,330455720192818603,2020-12-07,32.0,1.0,6498837.0,15.0,,0,0,1,513
2019-07-14,201929,286.0,286,286,286,0.0,4.40079,0,1,330455720192918603,2020-12-07,16.0,1.0,6498837.0,16.0,,0,0,1,513
2019-10-13,201942,67.0,67,67,67,0.121015,1.03095,0,1,330455720194218603,2020-12-07,55.0,1.0,6498837.0,22.0,,0,0,0,513
2019-11-10,201946,54.0,54,54,54,0.373471,0.830918,0,1,330455720194618603,2020-12-07,90.0,1.0,6498837.0,22.0,,0,0,0,513
2019-11-17,201947,53.0,53,53,53,0.352909,0.815531,0,1,330455720194718603,2020-12-07,33.0,1.0,6498837.0,21.0,,0,0,0,513
2017-07-23,201730,37.0,37,37,37,0.562714,0.569333,0,1,330455720173018603,2020-12-07,14.0,1.0,6498837.0,17.0,,0,0,0,513
2018-07-22,201830,145.0,145,145,145,0.0405951,2.23117,0,1,330455720183018603,2020-12-07,11.0,1.0,6498837.0,19.0,,0,0,0,513
2010-12-26,201052,202.0,202,202,202,0.732598,3.10825,0,2,330455720105218603,2020-12-07,,1.0,6498837.0,23.0,,1,0,0,513
2016-12-11,201650,96.0,96,96,96,0.0682746,1.47719,0,2,330455720165018603,2020-12-07,22.0,1.0,6498837.0,23.0,,1,0,0,513
2012-01-29,201205,2005.0,2005,2005,2005,1.0,30.8517,0,3,330455720120518603,2020-12-07,,1.0,6498837.0,21.0,,0,1,2,513
2010-01-24,201004,51.0,51,51,51,0.0,0.784756,0,2,330455720100418603,2020-12-07,,0.0,6498837.0,24.0,,1,0,0,513
2014-09-14,201438,54.0,54,54,54,0.397778,0.830918,0,1,330455720143818603,2020-12-07,57.0,1.0,6498837.0,19.0,,0,0,0,513
2014-12-21,201452,19.0,19,19,19,0.000166861,0.29236,0,2,330455720145218603,2020-12-07,40.0,0.0,6498837.0,24.0,,1,0,0,513
2012-08-26,201235,326.0,326,326,326,1.24443e-05,5.01628,0,1,330455720123518603,2020-12-07,63.0,1.0,6498837.0,18.0,,0,0,1,513
2016-07-03,201627,279.0,279,279,279,0.00161943,4.29308,0,1,330455720162718603,2020-12-07,36.0,1.0,6498837.0,17.0,,0,0,1,513
2010-04-11,201015,116.0,116,116,116,0.99655,1.78493,0,1,330455720101518603,2020-12-07,,1.0,6498837.0,20.0,,0,0,0,513
2010-04-18,201016,54.0,54,54,54,0.00624525,0.830918,0,1,330455720101618603,2020-12-07,,1.0,6498837.0,22.0,,1,0,0,513
2010-06-27,201026,88.0,88,88,88,0.609475,1.35409,0,1,330455720102618603,2020-12-07,,1.0,6498837.0,17.0,,0,0,0,513
2010-10-10,201041,41.0,41,41,41,0.00750828,0.630882,0,1,330455720104118603,2020-12-07,,1.0,6498837.0,17.0,,0,0,0,513
2011-02-06,201106,1219.0,1219,1219,1219,1.0,18.7572,0,3,330455720110618603,2020-12-07,,2.0,6498837.0,25.0,,1,1,1,513
2011-02-13,201107,1927.0,1927,1927,1927,1.0,29.6515,0,3,330455720110718603,2020-12-07,,2.0,6498837.0,24.0,,1,1,2,513
