data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2016-09-04,201636,9.0,9.0,9.0,9.0,0.0218287,2.50309,0,1,320530920163618305,2020-02-13,0.0,0.0,359555.0,21.0,,,,,
2017-04-16,201716,38.0,38.0,38.0,38.0,0.151169,10.5686,0,1,320530920171618305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2017-12-10,201750,26.0,26.0,26.0,26.0,0.799121,7.23116,0,1,320530920175018305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2019-12-01,201949,84.0,83.0,85.0,82.0,0.63156,23.3622,0,2,320530920194918305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2019-12-08,201950,157.0,154.0,158.0,150.0,0.999999,43.6651,0,2,320530920195018305,2020-02-13,0.0,2.0,359555.0,23.0,,,,,
2018-07-29,201831,29.0,29.0,29.0,29.0,0.0997226,8.06553,0,1,320530920183118305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-08-05,201832,51.0,51.0,51.0,51.0,0.95977,14.1842,0,1,320530920183218305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-08-26,201835,29.0,29.0,29.0,29.0,0.236328,8.06553,0,1,320530920183518305,2020-02-13,0.0,1.0,359555.0,19.0,,,,,
2018-09-02,201836,24.0,24.0,24.0,24.0,0.144489,6.67492,0,1,320530920183618305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-09-09,201837,25.0,25.0,25.0,25.0,0.288354,6.95304,0,1,320530920183718305,2020-02-13,0.0,1.0,359555.0,19.0,,,,,
2013-02-03,201306,809.0,809.0,809.0,809.0,0.459334,225.0,0,4,320530920130618305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2016-07-03,201627,28.0,28.0,28.0,28.0,0.241769,7.7874,0,1,320530920162718305,2020-02-13,0.0,1.0,359555.0,19.0,,,,,
2017-02-26,201709,45.0,45.0,45.0,45.0,0.958764,12.5155,0,2,320530920170918305,2020-02-13,0.0,1.0,359555.0,25.0,,,,,
2017-06-18,201725,44.0,44.0,44.0,44.0,0.886354,12.2373,0,1,320530920172518305,2020-02-13,0.0,1.0,359555.0,18.0,,,,,
2018-06-03,201823,29.0,29.0,29.0,29.0,0.0253166,8.06553,0,1,320530920182318305,2020-02-13,0.0,1.0,359555.0,20.0,,,,,
2020-02-02,202006,,,,,0.0,,0,2,320530920200618305,2020-02-13,0.0,,359555.0,24.0,,,,,
2011-03-13,201111,257.0,257.0,257.0,257.0,0.937655,71.4772,0,2,320530920111118305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2010-04-11,201015,182.0,182.0,182.0,182.0,0.986093,50.6181,0,2,320530920101518305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2018-09-23,201839,24.0,24.0,24.0,24.0,0.384273,6.67492,0,1,320530920183918305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2013-06-16,201325,270.0,270.0,270.0,270.0,0.0075122,75.0928,0,2,320530920132518305,2020-02-13,0.0,1.0,359555.0,20.0,,,,,
2013-12-15,201351,64.0,64.0,64.0,64.0,0.374115,17.7998,0,2,320530920135118305,2020-02-13,0.0,1.0,359555.0,22.0,,,,,
2016-08-14,201633,13.0,13.0,13.0,13.0,0.126706,3.61558,0,1,320530920163318305,2020-02-13,0.0,1.0,359555.0,23.0,,,,,
2017-07-02,201727,21.0,21.0,21.0,21.0,0.0637709,5.84055,0,1,320530920172718305,2020-02-13,0.0,1.0,359555.0,17.0,,,,,
2017-07-09,201728,15.0,15.0,15.0,15.0,0.0149729,4.17182,0,1,320530920172818305,2020-02-13,0.0,1.0,359555.0,18.0,,,,,
2010-01-17,201003,87.0,87.0,87.0,87.0,0.0,24.1966,0,2,320530920100318305,2020-02-13,0.0,,359555.0,25.0,,,,,
2010-08-29,201035,131.0,131.0,131.0,131.0,0.459552,36.4339,0,2,320530920103518305,2020-02-13,0.0,1.0,359555.0,20.0,,,,,
2010-10-31,201044,46.0,46.0,46.0,46.0,0.0153759,12.7936,0,1,320530920104418305,2020-02-13,0.0,1.0,359555.0,22.0,,,,,
2010-01-31,201005,73.0,73.0,73.0,73.0,0.0,20.3029,0,2,320530920100518305,2020-02-13,0.0,,359555.0,25.0,,,,,
2010-08-22,201034,143.0,143.0,143.0,143.0,0.752836,39.7714,0,2,320530920103418305,2020-02-13,0.0,1.0,359555.0,17.0,,,,,
2016-05-29,201622,43.0,43.0,43.0,43.0,0.0944223,11.9592,0,2,320530920162218305,2020-02-13,0.0,1.0,359555.0,21.0,,,,,
2016-08-07,201632,17.0,17.0,17.0,17.0,0.225557,4.72807,0,1,320530920163218305,2020-02-13,0.0,1.0,359555.0,,,,,,
2018-07-08,201828,48.0,48.0,48.0,48.0,0.894733,13.3498,0,1,320530920182818305,2020-02-13,0.0,1.0,359555.0,18.0,,,,,
2018-07-15,201829,45.0,45.0,45.0,45.0,0.860418,12.5155,0,1,320530920182918305,2020-02-13,0.0,1.0,359555.0,18.0,,,,,
2019-07-07,201928,254.0,254.0,254.0,254.0,0.00169259,70.6429,0,2,320530920192818305,2020-02-13,0.0,1.0,359555.0,15.0,,,,,
