data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,notif_accum_year
2020-10-18,202043,17.0,17,17,17,0.307036,4.48198,0,1,350600320204318773,2021-05-26,3.0,1.0,379297.0,20.0,92.0,1,0,1,530
2020-10-25,202044,7.0,7,7,7,0.0112343,1.84552,0,1,350600320204418773,2021-05-26,0.0,0.0,379297.0,21.0,89.0,1,0,0,530
2020-11-01,202045,19.0,19,19,19,0.743113,5.00927,0,1,350600320204518773,2021-05-26,1.0,1.0,379297.0,17.0,83.0,0,0,1,530
2020-03-15,202012,36.0,36,36,36,1.74049e-05,9.49124,0,1,350600320201218710,2021-03-24,35.0,0.0,379297.0,28.0,72.0,0,0,1,530
2020-05-31,202023,20.0,20,20,20,0.151346,5.27291,0,1,350600320202318773,2021-05-26,8.0,1.0,379297.0,18.0,93.0,0,0,1,530
2020-07-26,202031,14.0,14,14,14,0.308221,3.69104,0,1,350600320203118773,2021-05-26,2.0,1.0,379297.0,16.0,93.0,0,0,0,530
2020-08-23,202035,15.0,15,15,15,0.463316,3.95468,0,1,350600320203518773,2021-05-26,1.0,1.0,379297.0,15.0,89.0,0,0,0,530
2020-09-06,202037,6.0,6,6,6,0.0174643,1.58187,0,1,350600320203718773,2021-05-26,1.0,0.0,379297.0,21.0,86.0,1,0,0,530
2020-09-13,202038,17.0,17,17,17,0.608176,4.48198,0,1,350600320203818773,2021-05-26,1.0,1.0,379297.0,21.0,71.0,0,0,1,530
2020-09-20,202039,24.0,24,24,24,0.950807,6.3275,0,1,350600320203918773,2021-05-26,3.0,2.0,379297.0,18.0,93.0,0,1,1,530
2020-10-04,202041,19.0,19,19,19,0.392375,5.00927,0,1,350600320204118773,2021-05-26,8.0,1.0,379297.0,22.0,88.0,1,0,1,530
2021-01-31,202105,33.0,33,33,33,0.930319,8.70031,0,2,350600320210518773,2021-05-26,6.0,1.0,379297.0,22.0,89.0,1,0,1,530
2021-04-11,202115,40.0,37,54,37,0.65573,10.5458,0,1,350600320211518773,2021-05-26,5.0,1.0,379297.0,19.0,77.0,0,0,1,530
2021-02-21,202108,32.0,32,32,32,0.721735,8.43666,0,1,350600320210818773,2021-05-26,2.0,1.0,379297.0,23.0,79.0,0,0,1,530
2021-02-28,202109,49.0,49,49,49,0.993212,12.9186,0,1,350600320210918773,2021-05-26,2.0,2.0,379297.0,21.0,93.0,1,1,1,530
2020-11-08,202046,15.0,15,15,15,0.617747,3.95468,0,1,350600320204618773,2021-05-26,1.0,1.0,379297.0,22.0,88.0,1,0,0,530
2020-11-15,202047,14.0,14,14,14,0.449943,3.69104,0,1,350600320204718773,2021-05-26,,1.0,379297.0,25.0,83.0,1,0,0,530
2020-11-22,202048,14.0,14,14,14,0.412238,3.69104,0,1,350600320204818773,2021-05-26,,1.0,379297.0,24.0,75.0,0,0,0,530
2021-04-18,202116,30.0,26,48,26,0.157114,7.90937,0,1,350600320211618773,2021-05-26,3.0,1.0,379297.0,17.0,84.0,0,0,1,530
2011-04-17,201116,296.0,296,296,296,4.88123e-10,80.1369,0,4,350600320111618544,2020-10-09,,1.0,369368.0,26.0,,1,0,2,530
2012-02-12,201207,8.0,8,8,8,0.240328,2.16586,0,2,350600320120718544,2020-10-09,,1.0,369368.0,23.0,,1,0,0,530
2012-02-05,201206,15.0,15,15,15,0.626323,4.06099,0,2,350600320120618544,2020-10-09,,1.0,369368.0,27.0,,1,0,0,530
2019-09-22,201939,205.0,205,205,205,1.0,55.5002,0,3,350600320193918544,2020-10-09,2.0,6.0,369368.0,24.0,,1,1,1,530
2019-10-20,201943,27.0,27,27,27,9.76996e-15,7.30978,0,2,350600320194318550,2020-10-15,2.0,0.0,369368.0,25.0,,1,0,1,530
2012-09-02,201236,5.0,5,5,5,0.663661,1.35366,0,1,350600320123618544,2020-10-09,2.0,1.0,369368.0,25.0,,1,0,0,530
2010-07-04,201027,8.0,8,8,8,0.673003,2.16586,0,1,350600320102718544,2020-10-09,,1.0,369368.0,21.0,,0,0,0,530
2010-08-15,201033,7.0,7,7,7,0.296705,1.89513,0,1,350600320103318544,2020-10-09,,1.0,369368.0,16.0,,0,0,0,530
2010-10-17,201042,10.0,10,10,10,0.510421,2.70733,0,1,350600320104218544,2020-10-09,,1.0,369368.0,20.0,,0,0,0,530
2012-10-21,201243,3.0,3,3,3,0.649921,0.812198,0,2,350600320124318544,2020-10-09,1.0,1.0,369368.0,28.0,,1,0,0,530
2013-01-20,201304,135.0,135,135,135,1.0,36.5489,0,2,350600320130418544,2020-10-09,2.0,2.0,369368.0,25.0,,1,1,1,530
2013-02-03,201306,171.0,171,171,171,0.984431,46.2953,0,3,350600320130618544,2020-10-09,6.0,1.0,369368.0,24.0,,1,1,1,530
2013-05-26,201322,227.0,227,227,227,4.74065e-14,61.4563,0,4,350600320132218544,2020-10-09,3.0,1.0,369368.0,21.0,,0,0,1,530
2013-10-06,201341,5.0,5,5,5,0.586278,1.35366,0,1,350600320134118544,2020-10-09,0.0,1.0,369368.0,22.0,,1,0,0,530
2013-10-13,201342,4.0,4,4,4,0.478856,1.08293,0,1,350600320134218544,2020-10-09,0.0,1.0,369368.0,21.0,,0,0,0,530
